comment,clean_comment,sentiment,score
"<a href=""https://www.youtube.com/watch?v=DzwkcbTQ7ZE&amp;t=172"">2:52</a>",,Neutral,0
Linda demais esse música ❤💥,linda demais esse msica ,Neutral,0
Mak kerumah yah?,mak kerumah yah,Neutral,0
❤❤,,Neutral,0
is it just me or it lowkey sounds like halo by beyonce,is it just me or it lowkey sounds like halo by beyonce,Neutral,0
Peraturan,peraturan,Neutral,0
Sender,sender,Neutral,0
Whoevers reading this Jesus bless you 😊😊😊😊😊✝️❤️,whoevers reading this jesus bless you ,Neutral,0
Flashlight fans here,flashlight fans here,Neutral,0
I miss this song 😢😢,i miss this song ,Neutral,0
🔥,,Neutral,0
Ai sẽ có mặt ở đây vào năm 2026? ❤❤,ai s c mt  y vo nm  ,Neutral,0
❤❤❤❤wandinha xpatick,wandinha xpatick,Neutral,0
Patrick x wandinha..<br>Love this song ....xxxxx,patrick x wandinhalove this song xxxxx,Neutral,0
Patrick x wandinha ❤❤❤❤❤❤❤❤,patrick x wandinha ,Neutral,0
I love this song remember my patrick <br>But he die last november <br>He love this song.<br><br>I love so toooo.,i love this song remember my patrick but he die last november he love this songi love so toooo,Neutral,0
sound faforit di masa kcil ❤❤,sound faforit di masa kcil ,Neutral,0
ke sini jdi ingat waktu kcil syuka bgt lagu inggris 🥹🥹,ke sini jdi ingat waktu kcil syuka bgt lagu inggris ,Neutral,0
Que lindo,que lindo,Neutral,0
❤,,Neutral,0
It&#39;s been 10 yrs but these aong still hits hard in April 2026,its been  yrs but these aong still hits hard in april ,Neutral,0
2026 anybody.?, anybody,Neutral,0
Nome do filme,nome do filme,Neutral,0
April 2026 ❤,april  ,Neutral,0
Such a beautiful and emotional song,such a beautiful and emotional song,Neutral,0
April 16 2026 anyone’s,april   anyones,Neutral,0
So this song was Jessie&#39;s,so this song was jessies,Neutral,0
รักมาก,,Neutral,0
"<a href=""https://www.youtube.com/watch?v=BwzjJiEoALw"">https://www.youtube.com/watch?v=BwzjJiEoALw</a>",,Neutral,0
2026. Từ tiktok qua, t tiktok qua,Neutral,0
